"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
295.65,1,0,7.6,7,0
296.16,1,0.5,7.6,7,0.5
296.62,1,1,7.6,7,1
297.06,1,1.5,7.6,7,1.5
297.47,1,2,7.6,7,2
297.86,1,2.5,7.6,7,2.5
298.23,1,3,7.6,7,3
298.57,1,3.5,7.6,7,3.5
298.88,1,4,7.6,7,4
299.18,1,4.5,7.6,7,4.5
299.46,1,5,7.6,7,5
299.71,1,5.5,7.6,7,5.5
299.94,1,6,7.6,7,6
300.15,1,6.5,7.6,7,6.5
300.34,1,7,7.6,7,7
300.51,1,7.5,7.6,7,7.5
300.67,1,8,7.6,7,8
300.8,1,8.5,7.6,7,8.5
300.92,1,9,7.6,7,9
301.02,1,9.5,7.6,7,9.5
301.1,1,10,7.6,7,10
301.17,1,10.5,7.6,7,10.5
301.23,1,11,7.6,7,11
301.27,1,11.5,7.6,7,11.5
301.3,1,12,7.6,7,12
301.32,1,12.5,7.6,7,12.5
301.33,1,13,7.6,7,13
301.32,1,13.5,7.6,7,13.5
301.31,1,14,7.6,7,14
301.29,1,14.5,7.6,7,14.5
301.26,1,15,7.6,7,15
301.23,1,15.5,7.6,7,15.5
301.19,1,16,7.6,7,16
301.14,1,16.5,7.6,7,16.5
301.1,1,17,7.6,7,17
301.04,1,17.5,7.6,7,17.5
300.99,1,18,7.6,7,18
300.93,1,18.5,7.6,7,18.5
300.87,1,19,7.6,7,19
300.81,1,19.5,7.6,7,19.5
300.75,1,20,7.6,7,20
300.69,1,20.5,7.6,7,20.5
300.63,1,21,7.6,7,21
300.57,1,21.5,7.6,7,21.5
300.52,1,22,7.6,7,22
300.46,1,22.5,7.6,7,22.5
300.42,1,23,7.6,7,23
300.37,1,23.5,7.6,7,23.5
300.33,1,24,7.6,7,24
300.31,1,24.5,7.6,7,24.5
300.28,1,25,7.6,7,25
300.27,1,25.5,7.6,7,25.5
300.25,1,26,7.6,7,26
300.25,1,26.5,7.6,7,26.5
300.25,1,27,7.6,7,27
300.25,1,27.5,7.6,7,27.5
300.25,1,28,7.6,7,28
300.25,1,28.5,7.6,7,28.5
300.24,1,29,7.6,7,29
300.23,1,29.5,7.6,7,29.5
300.21,1,30,7.6,7,30
300.19,1,30.5,7.6,7,30.5
300.16,1,31,7.6,7,31
300.13,1,31.5,7.6,7,31.5
300.08,1,32,7.6,7,32
300.03,1,32.5,7.6,7,32.5
299.96,1,33,7.6,7,33
299.89,1,33.5,7.6,7,33.5
299.8,1,34,7.6,7,34
299.71,1,34.5,7.6,7,34.5
299.61,1,35,7.6,7,35
299.5,1,35.5,7.6,7,35.5
299.38,1,36,7.6,7,36
299.25,1,36.5,7.6,7,36.5
299.12,1,37,7.6,7,37
298.97,1,37.5,7.6,7,37.5
298.81,1,38,7.6,7,38
298.64,1,38.5,7.6,7,38.5
298.47,1,39,7.6,7,39
298.28,1,39.5,7.6,7,39.5
298.08,1,40,7.6,7,40
297.86,1,40.5,7.6,7,40.5
297.63,1,41,7.6,7,41
297.38,1,41.5,7.6,7,41.5
297.12,1,42,7.6,7,42
296.83,1,42.5,7.6,7,42.5
296.52,1,43,7.6,7,43
296.16,1,43.5,7.6,7,43.5
295.78,1,44,7.6,7,44
295.37,1,44.5,7.6,7,44.5
nan,0,45,7.6,7,45
nan,0,45.5,7.6,7,45.5
nan,0,46,7.6,7,46
nan,0,46.5,7.6,7,46.5
nan,0,47,7.6,7,47
nan,0,47.5,7.6,7,47.5
nan,0,48,7.6,7,48
nan,0,48.5,7.6,7,48.5
nan,0,49,7.6,7,49
nan,0,49.5,7.6,7,49.5
nan,0,50,7.6,7,50
